Logopaede*in (freiberuflich oder Kassenvertrag), Kirchdorf an der Krems;Lebenshilfe Oberoesterreich; Kirchdorf an der Krems; Teilzeit;23.05. 
Thekenkraft (m/w/x);BILLA AG; Micheldorf; Teilzeit;16.05. 
Assistenz Einkauf (m/w/d);TTI Personaldienstleistung GmbH & Co KG; Nussbach; Vollzeit;16.05. 
Logopaede*in (freiberuflich oder Kassenvertrag), Kirchdorf an der Krems;Lebenshilfe Oberoesterreich; Kirchdorf an der Krems; Teilzeit;23.05. 
Radiologietechnolog:in;Dr. Wallentin Dieter; Vollzeit; Teilzeit;21.05. 
Arbeitsvorbereiter (m/w/d);TTI Personaldienstleistung GmbH & Co KG; Nussbach; Vollzeit;16.05. 
CAM/CNC - Techniker (m/w/d);TTI Personaldienstleistung GmbH & Co KG; Nussbach; Vollzeit;16.05. 
Werkzeugbautechniker (m/w/d);TTI Personaldienstleistung GmbH & Co KG; Nussbach; Vollzeit;16.05. 
Mitarbeiter Linienbetrieb (m/w/d);TTI Personaldienstleistung GmbH & Co KG; Nussbach; Vollzeit;16.05. 
Maschinenfuehrer Extrusion (m/w/d);TTI Personaldienstleistung GmbH & Co KG; Nussbach; Vollzeit;16.05. 
Verkaeufer:in Fokus Kassa;BILLA AG; Windischgarsten; Teilzeit;15.05. 
Verkaeufer:in Theke Samstag;BILLA AG; Inzersdorf im Kremstal; Geringfuegig;15.05. 
Marktmanager:in;BILLA AG; Micheldorf; Vollzeit;15.05. 
Marktmanager:in Stellvertretung;BILLA AG; Gruenburg; Vollzeit;14.05. 
Produktionsarbeiter*in;Hofmann Personal; Kirchdorf an der Krems; Vollzeit;13.05. 
Prozesstechniker*in;Hofmann Personal; Kirchdorf an der Krems; Vollzeit;13.05. 
CNC-Maschinenbediener*in;Hofmann Personal; Micheldorf; Vollzeit;13.05. 
Samstagskraft (all genders) in 4560 Kirchdorf;KiK Textilien und Non-Food Ges.m.b.H.; Kirchdorf an der Krems; Geringfuegig;12.05. 
Monteur fuer Schwimmbadtechnik (m/w/d);BERGER Personal-Service GmbH; Ried im Traunkreis; Vollzeit;07.05. 
Produktionsarbeiter (m/w/d) 3 - 4 schichtig;Randstad Austria GmbH | Trieben; Spital am Pyhrn; Vollzeit;06.05. 
Prozesstechniker (m/w/d);TTI Personaldienstleistung GmbH & Co KG; Kirchdorf an der Krems; Vollzeit;30.04. 
Produktionsmitarbeiter (m/w/d);TTI Personaldienstleistung GmbH & Co KG; Molln; Vollzeit;29.04. 
Mitarbeiter/in Schadensabwicklung m/w/d (38,5);ISG Personalmanagement GmbH; Ried im Traunkreis; Vollzeit;29.04. 
Produktionsmitarbeiter fuer die Abfuellung (m/w/d);TTI Personaldienstleistung GmbH & Co KG; Ried im Traunkreis; Vollzeit;29.04. 
Produktionsmitarbeiter (m/w/d);BERGER Personal-Service GmbH; Oberoesterreich; Vollzeit;28.04. 
TECHNIKER - SPRITZGUSSWERKZEUGE (w/m/d);Randstad Austria GmbH | Linz; Kirchdorf an der Krems; Vollzeit;26.04. 
MITARBEITER INSTANDHALTUNG - Elektrotechnik (w/m/d);Randstad Austria GmbH | Linz; Kirchdorf an der Krems; Vollzeit;26.04. 
CNC Zerspanungstechniker (m/w/d);TTI Personaldienstleistung GmbH & Co KG; Molln; Vollzeit;25.04. 
